SessionId	ItemId	Time
1	3186	978300019
1	1270	978300055
1	1721	978300055
1	1022	978300055
1	1836	978300172
1	3408	978300275
1	2804	978300719
1	1207	978300719
1	1193	978300760
1	260	978300760
1	919	978301368
1	608	978301398
1	2692	978301570
1	1961	978301590
1	2028	978301619
1	3105	978301713
1	938	978301752
1	1035	978301753
1	1962	978301753
1	2018	978301777
1	150	978301777
1	1028	978301777
1	1097	978301953
1	1287	978302039
1	2797	978302039
1	2762	978302091
1	1246	978302091
1	2918	978302124
1	531	978302149
1	3114	978302174
1	2791	978302188
1	1029	978302205
1	594	978302268
1	2398	978302281
1	1545	978824139
1	527	978824195
1	595	978824268
1	588	978824268
1	1	978824268
1	2355	978824291
1	2294	978824291
1	783	978824291
1	1566	978824330
2	1198	978298124
2	1210	978298151
2	1293	978298261
2	2943	978298372
2	1225	978298391
2	1193	978298413
2	318	978298413
2	3030	978298434
2	2858	978298434
2	1945	978298458
2	1207	978298478
2	593	978298517
2	3095	978298517
2	3468	978298542
2	1873	978298542
2	515	978298542
2	2501	978298600
2	3035	978298625
2	110	978298625
2	2067	978298625
2	3147	978298652
2	1247	978298652
2	3105	978298673
2	1357	978298709
2	1196	978298730
2	1957	978298750
2	1953	978298775
2	920	978298775
2	1834	978298813
2	1962	978298813
2	3471	978298814
2	1259	978298841
2	1954	978298841
2	1784	978298841
2	3451	978298924
2	3578	978298958
2	3334	978298958
2	3068	978299000
2	265	978299026
2	590	978299083
2	3071	978299120
2	1955	978299200
2	2236	978299220
2	982	978299269
2	2194	978299297
2	2268	978299297
2	1442	978299297
2	3255	978299321
2	1096	978299386
2	1124	978299418
2	1246	978299418
2	1537	978299620
2	1188	978299620
2	2396	978299641
2	356	978299686
2	589	978299773
2	2028	978299773
2	2571	978299773
2	457	978299773
2	1610	978299809
2	480	978299809
2	163	978299809
2	380	978299809
2	3418	978299809
2	349	978299839
2	1527	978299839
2	2353	978299861
2	1370	978299889
2	648	978299913
2	368	978300002
2	736	978300100
3	2858	978297039
3	1968	978297068
3	1961	978297095
3	1266	978297396
3	1378	978297419
3	1379	978297419
3	3671	978297419
3	590	978297439
3	260	978297512
3	1196	978297539
3	2871	978297539
3	1197	978297570
3	1198	978297570
3	3168	978297570
3	1210	978297600
3	1291	978297600
3	2167	978297600
3	480	978297690
3	1615	978297710
3	653	978297757
3	733	978297757
3	2006	978297757
3	2470	978297777
3	2115	978297777
3	1049	978297805
3	552	978297837
3	2735	978297867
3	1136	978298079
3	3421	978298147
3	1394	978298147
3	1304	978298166
3	1079	978298296
3	1259	978298296
3	2355	978298430
3	3552	978298459
4	1097	978293964
4	3468	978294008
4	480	978294008
4	260	978294199
4	1198	978294199
4	1387	978294199
4	2028	978294230
4	2366	978294230
4	1201	978294230
4	2692	978294230
4	2947	978294230
4	1214	978294260
4	3418	978294260
4	3702	978294260
4	1240	978294260
4	2951	978294282
5	908	978241072
5	919	978241072
5	1250	978241112
5	2858	978241390
5	2997	978241556
5	2770	978241981
5	2355	978241981
5	2908	978241981
5	3016	978242016
5	2599	978242323
5	2959	978242541
5	2333	978242607
5	2580	978242607
5	2318	978242640
5	2390	978242679
5	913	978242740
5	2723	978242788
5	2560	978242977
5	1513	978242977
5	2692	978242977
5	2395	978243054
5	2700	978243085
5	2337	978243121
5	2987	978243170
5	1046	978244114
5	3083	978244114
5	296	978244177
5	593	978244177
5	608	978244177
5	1213	978244177
5	50	978244205
5	1089	978244205
5	1192	978244493
5	2571	978244493
5	896	978244493
5	714	978244493
5	994	978244540
5	2289	978244568
5	176	978244568
5	1730	978244603
5	562	978244603
5	34	978244603
5	162	978244624
5	1649	978244667
5	41	978244692
5	1175	978244759
5	728	978244759
5	2291	978244808
5	1449	978244830
5	3163	978244852
5	1171	978244852
5	3267	978244893
5	32	978244962
5	1529	978245037
5	3260	978245065
5	29	978245065
5	1095	978245065
5	1635	978245314
5	866	978245334
5	1734	978245334
5	2890	978245445
5	2323	978245445
5	1535	978245513
5	1759	978245513
5	1517	978245568
5	1885	978245568
5	1392	978245645
5	1610	978245645
5	1732	978245740
5	1729	978245763
5	509	978245829
5	348	978245863
5	515	978245891
5	1715	978245891
5	506	978245999
5	377	978245999
5	1580	978245999
5	1921	978246162
5	1897	978246426
5	2427	978246450
6	3072	978236075
6	2006	978236122
6	912	978236122
6	1043	978236219
6	3534	978236219
6	17	978236383
6	1441	978236383
6	2081	978236567
6	3699	978236567
6	1674	978236567
6	2802	978236612
6	2406	978236670
6	1101	978236670
6	3501	978236670
6	1088	978236670
6	1188	978236771
6	2396	978236809
6	569	978236876
6	1	978237008
6	2966	978237273
6	838	978237444
6	34	978237444
6	588	978237511
6	595	978237511
6	1688	978237570
6	364	978237570
6	48	978237570
6	1566	978237570
6	199	978237570
6	1030	978237691
6	1380	978237691
6	1035	978237767
6	3604	978237767
6	1947	978237767
6	914	978237767
6	1028	978237767
6	368	978237909
6	383	978237909
6	266	978237909
6	3074	978238036
6	3578	978238195
6	3753	978238195
6	3536	978238230
6	3408	978238230
6	3624	978238256
6	3565	978238288
6	3717	978238371
6	920	978238851
7	1270	978234581
7	480	978234607
7	442	978234632
7	1196	978234632
7	1221	978234659
7	648	978234737
7	1997	978234737
7	3753	978234737
7	1610	978234786
7	589	978234786
7	2571	978234786
7	457	978234786
7	110	978234786
7	2028	978234786
7	2916	978234842
7	6	978234842
7	733	978234842
7	474	978234842
7	1580	978234842
7	861	978234874
7	2353	978234874
7	380	978234874
7	1573	978234874
7	1722	978234874
8	1210	978228789
8	111	978228832
8	908	978228882
8	3481	978228882
8	1573	978228960
8	480	978228960
8	589	978229138
8	2028	978229138
8	3265	978229138
8	2692	978229138
8	2916	978229172
8	2571	978229172
8	110	978229172
8	377	978229204
8	2427	978229204
8	555	978229204
8	3267	978229204
8	163	978229246
8	3107	978229246
8	1916	978229293
8	1580	978229293
8	3256	978229347
8	349	978229347
8	2699	978229347
8	288	978229391
8	25	978229477
8	1265	978229524
8	2396	978229524
8	265	978229571
8	17	978229571
8	1735	978229614
8	1393	978229702
8	2291	978229702
8	1639	978229702
8	2858	978229817
8	1213	978229817
8	296	978229857
8	527	978229857
8	608	978229857
8	1704	978229900
8	2329	978229900
8	1730	978230013
8	36	978230013
8	1466	978230052
8	16	978230095
8	2686	978230152
8	562	978230184
8	337	978230248
8	58	978230286
8	73	978230286
8	1673	978230356
8	1120	978230391
8	1411	978230391
8	3246	978230391
8	3147	978230550
8	2442	978230550
8	1840	978230577
8	150	978230611
8	524	978230611
8	1678	978230649
8	3105	978230666
8	14	978230756
8	1357	978230800
8	1721	978230800
8	1682	978230852
8	3186	978230852
8	1653	978230886
8	650	978230943
8	253	978230943
8	1589	978230943
8	24	978230966
8	269	978231121
8	151	978231150
8	465	978231173
8	3259	978231571
8	1836	978231592
8	266	978231614
8	230	978231637
8	1701	978231659
8	3528	978231687
8	105	978232056
8	1027	978232203
8	1274	978233462
9	3751	978224859
9	1961	978224859
9	912	978224879
9	1210	978224893
9	1221	978224908
9	527	978225303
9	593	978225314
9	1213	978225314
9	2858	978225333
9	50	978225333
9	1148	978225333
9	1307	978225429
9	2692	978225429
9	3408	978225570
9	3793	978225581
9	3623	978225671
9	3298	978225686
9	318	978225883
9	720	978225898
9	745	978225898
9	608	978225898
9	2028	978225908
9	1617	978225924
9	1704	978225924
9	1	978225952
9	3114	978225952
9	1223	978225968
9	1089	978225968
9	2571	978225984
9	2762	978225984
9	457	978226006
9	162	978226023
9	25	978226041
9	2355	978226054
9	1265	978226066
9	2324	978226066
9	3147	978226081
9	47	978226093
9	1639	978226109
9	1500	978226123
9	2959	978226123
9	223	978226165
9	1923	978226165
9	3253	978226165
9	2166	978226197
9	1358	978226207
9	3255	978226216
9	1584	978226233
9	1466	978226248
9	1721	978226248
9	778	978226248
9	1060	978226261
9	300	978226277
9	1777	978226291
9	2890	978226291
9	1682	978226302
9	994	978226328
9	1921	978226368
9	590	978226434
9	480	978226448
9	2302	978226463
9	2268	978226495
9	529	978226564
9	349	978226564
9	524	978226599
9	16	978226599
9	1653	978226619
10	597	978224375
10	1948	978224400
10	1210	978224400
10	1282	978224549
10	2312	978224549
10	3751	978224549
10	3155	978224705
10	2791	978224705
10	480	978224705
10	1544	978224749
10	2135	978224779
10	2657	978224779
10	3675	978224779
10	2399	978224821
10	648	978224925
10	3189	978225033
10	3481	978225050
10	3408	978225070
10	1204	978225456
10	2762	978225541
10	1148	978225541
10	919	978225561
10	1198	978225630
10	541	978225630
10	1234	978225630
10	2300	978225682
10	3037	978225682
10	1293	978225682
10	1270	978225735
10	1291	978225735
10	3114	978225759
10	1302	978225779
10	1214	978225800
10	1079	978225800
10	1215	978225824
10	1080	978225824
10	110	978225853
10	588	978225900
10	1278	978225922
10	2918	978225922
10	954	978225922
10	2716	978225952
10	1294	978225952
10	2997	978226026
10	1028	978226068
10	3296	978226103
10	589	978226128
10	2336	978226165
10	2872	978226186
10	926	978226212
10	3095	978226212
10	3471	978226231
10	1411	978226287
10	2324	978226287
10	3671	978226287
10	1682	978226319
10	150	978226319
10	2000	978226319
10	1271	978226349
10	3194	978226349
10	3358	978226378
10	1580	978226401
10	2501	978226402
10	802	978226425
10	2863	978226443
10	1	978226474
10	953	978226474
10	1269	978226500
10	2355	978226500
10	3087	978226500
10	1307	978226546
10	364	978226698
10	1084	978226698
10	3451	978226739
10	2100	978226739
10	1947	978226805
10	914	978226805
10	356	978226833
10	1253	978226866
10	2080	978226866
10	2529	978226866
10	3699	978226866
10	3723	978226896
10	2291	978226896
10	594	978226913
10	3097	978226951
10	1230	978226968
10	2804	978227003
10	368	978227003
10	2040	978227003
10	587	978227028
10	920	978227029
10	653	978227051
10	62	978227051
10	2496	978227087
10	3255	978227143
10	943	978227166
10	2948	978227166
10	1408	978227188
10	2874	978227188
10	915	978227215
10	918	978227215
10	539	978227239
10	1653	978227239
10	592	978227263
10	1104	978227263
10	1257	978227300
10	1088	978227300
10	1243	978227300
10	2302	978227317
10	2321	978227336
10	3386	978227379
10	1967	978227442
10	3247	978227481
10	1921	978227503
10	316	978227503
10	2662	978227529
10	971	978227551
10	3086	978227574
10	1357	978227625
10	2294	978227625
10	2371	978227625
10	590	978227646
10	2078	978227646
10	2174	978227669
10	963	978227669
10	2001	978227669
10	3363	978227696
10	2617	978227696
10	7	978227763
10	1019	978227763
10	2003	978227807
10	2137	978227842
10	2967	978227848
10	1356	978227871
10	1220	978227912
10	2115	978227934
10	2018	978227993
10	2081	978228053
10	3039	978228053
10	1025	978228074
10	2393	978228074
10	2011	978228118
10	2470	978228118
10	3500	978228153
10	1101	978228153
10	596	978228174
10	2012	978228174
10	2622	978228212
10	2161	978228212
10	1375	978228212
10	1923	978228288
10	1372	978228288
10	2746	978228307
10	3928	978228307
10	3174	978228364
10	1032	978228428
10	1441	978228451
10	3809	978228451
10	3591	978228525
10	1031	978228546
10	1042	978228601
10	2015	978228601
10	317	978228625
10	780	978228625
10	3259	978228644
10	1756	978228655
10	292	978228798
10	2453	978228798
10	2111	978228798
10	2090	978228820
10	543	978228848
10	253	978228886
10	3501	978228911
10	3072	978228930
10	2423	978228930
10	2046	978228966
10	2043	978228989
10	2109	978229007
10	1676	978229028
10	1124	978229075
10	2094	978229097
10	329	978229147
10	2431	978229147
10	2133	978229171
10	1016	978229171
10	2436	978229227
10	1633	978229266
10	938	978229273
10	1380	978229336
10	344	978229343
10	1573	978229389
10	2054	978229409
10	1135	978229435
10	2005	978229459
10	2047	978229459
10	435	978229498
10	1371	978229517
10	351	978229562
10	1125	978229562
10	2002	978229562
10	1409	978229624
10	2093	978229624
10	2049	978229624
10	2316	978229666
10	2424	978229666
10	830	978229716
10	282	978229716
10	248	978229811
10	3812	978229959
10	2497	978229979
10	1586	978229979
10	2136	978230063
10	48	978230090
10	2375	978230090
10	208	978230132
10	1690	978230253
10	2770	978230253
10	765	978230330
10	1959	978230330
10	542	978230386
10	203	978230426
10	1583	978230461
10	2826	978230540
10	2405	978230754
10	2072	978230923
10	520	978230923
10	3948	978295480
10	898	979167630
10	1265	979167660
10	1197	979167660
10	2396	979167660
10	899	979167758
10	2125	979167795
10	3668	979167795
10	2108	979167867
10	357	979167887
10	1286	979167906
10	902	979167926
10	339	979167945
10	1059	979168008
10	1339	979168036
10	3108	979168036
10	260	979168077
10	1196	979168108
10	2571	979168108
10	1127	979168108
10	1584	979168108
10	1097	979168108
10	1376	979168132
10	3175	979168132
10	1374	979168160
10	32	979168160
10	1200	979168160
10	2968	979168160
10	2407	979168184
10	2640	979168210
10	1129	979168210
10	2009	979168210
10	2	979168267
10	3466	979168267
10	1009	979168267
10	367	979168267
10	2797	979168267
10	1073	979168267
10	2140	979168295
10	3489	979168295
10	2193	979168295
10	2021	979168295
10	2105	979168309
10	1654	979168346
10	916	979168424
10	1136	979168424
10	1784	979168470
10	1223	979168470
10	745	979168564
10	2599	979168618
10	1225	979775131
10	318	979775159
10	720	979775240
10	2398	979775266
10	904	979775329
10	1961	979775330
10	2096	979775364
10	750	979775386
10	1240	979775448
10	1023	979775485
10	1035	979775485
10	1233	979775521
10	3347	979775575
10	1292	979775615
10	527	979775615
10	1022	979775689
10	2087	979775738
10	2717	979775973
10	2498	979776161
10	1831	979776206
10	3593	979776253
10	275	979776321
10	3034	980638330
10	3447	980638373
10	595	980638533
10	1704	980638575
11	1198	978218913
11	318	978219547
11	593	978219607
11	50	978219607
11	2858	978219634
11	608	978219667
11	1704	978219701
11	3105	978219702
11	994	978219733
11	1358	978219776
11	1089	978219776
11	3418	978219776
11	2762	978219815
11	764	978219869
11	778	978219895
11	1784	978219917
11	543	978219917
11	2580	978220030
11	2329	978220030
11	1188	978220319
11	1923	978220393
11	3160	978220432
11	3148	978220521
11	1059	978220622
11	345	978220669
11	2959	978220687
11	480	978220743
11	1916	978220867
11	2302	978220896
11	3178	978221047
11	481	978221260
11	1563	978221617
11	1701	978221676
11	2997	978902286
11	246	978902439
11	1213	978902439
11	1546	978902521
11	2282	978902522
11	2804	978902902
11	1394	978902965
11	1136	978902965
11	1244	978903024
11	1080	978903076
11	1288	978903107
11	2918	978903129
11	2791	978903186
11	2766	978903209
11	356	978903209
11	2174	978903278
11	1197	978903297
11	3448	978903351
11	3608	978903365
11	2109	978903658
11	3129	978903701
11	2795	978903701
11	3809	978903728
11	2746	978903773
11	104	978903811
11	1777	978903927
11	1732	978903927
11	1753	978904024
11	663	978904024
11	2539	978904142
11	2683	978904242
11	333	978904356
11	216	978904376
12	999	978218568
12	3265	978218916
12	1303	978218916
12	1198	978218949
12	3897	978218949
12	858	978218949
12	1221	978218949
12	919	978220120
12	1193	978220179
12	111	978220179
12	593	978220193
12	3658	978220216
13	1197	978201320
13	1291	978201320
13	1331	978201342
13	1196	978201342
13	296	978201368
13	1097	978201368
13	318	978201660
13	527	978201660
13	593	978201672
13	2028	978201687
13	50	978201724
13	2571	978201740
13	2686	978201777
13	110	978201777
13	589	978201811
13	1356	978201843
13	1527	978201859
13	1372	978201884
13	1580	978201884
13	780	978201927
13	329	978201987
13	736	978202073
13	1544	978202073
13	1262	978202201
